"Global Wind Power Tracker, December 2023",,,,,,,,,,
Tracker includes wind farm phases 10 MW and greater.,,,,,,,,,,
Countries in bold were updated for the December 2023 release. All others were last updated May 2023.,,,,,,,,,,
Global Energy Monitor,,,,,,,,,,
Region,Country,Operating,Construction,Pre-construction,Announced,"Prospective (Sum of Construction, Pre-construction, Announced)",Shelved,Mothballed,Retired,Cancelled
Asia,Oman,1,2,12,4,18,0,0,0,0
Asia,Pakistan,34,3,0,5,8,6,0,0,10
Asia,Philippines,11,5,121,16,142,28,0,0,14
Asia,Saudi Arabia,1,1,0,4,5,0,0,0,0
Asia,Singapore,0,0,0,1,1,0,0,0,0
Asia,South Korea,43,12,152,33,197,21,0,0,14
Asia,Sri Lanka,13,0,0,3,3,0,0,0,0
Asia,Syria,0,0,0,0,0,2,0,0,4
Asia,Taiwan,38,12,15,15,42,6,0,0,34
Asia,Thailand,28,0,5,0,5,0,0,0,4
Asia,Türkiye,324,17,36,0,53,13,0,0,14
Asia,United Arab Emirates,0,1,0,1,2,0,0,0,0
Asia,Uzbekistan,0,2,2,3,7,1,0,0,4
Asia,Vietnam,113,12,97,35,144,45,0,0,14
Asia,Yemen,0,0,0,2,2,0,0,0,1
Europe,Albania,0,2,0,6,8,0,0,0,7
Europe,Austria,115,7,6,3,16,0,0,7,0
Europe,Belarus,0,0,1,0,1,0,0,0,0
Europe,Belgium,94,6,53,0,59,3,0,0,2
Europe,Bosnia and Herzegovina,3,5,19,3,27,0,0,0,13
Europe,Bulgaria,20,0,0,1,1,0,0,0,32
Europe,Croatia,25,3,4,2,9,1,0,0,6
Europe,Czech Republic,7,0,0,2,2,0,0,0,7
Europe,Denmark,128,3,13,33,49,0,0,5,3
Europe,Estonia,11,2,6,0,8,1,0,0,22
Europe,Faroe Islands,2,0,0,1,1,0,0,0,0
Europe,Finland,122,36,76,57,169,9,0,1,12
Europe,France,"1,190",52,101,235,388,35,1,3,19
Europe,Germany,"1,921",9,113,194,316,5,0,47,20
Europe,Greece,181,21,684,97,802,0,0,0,160
Europe,Guernsey,0,0,0,1,1,0,0,0,0
Europe,Hungary,11,0,0,0,0,0,0,0,3
Europe,Ireland,125,9,55,30,94,2,1,1,7
Europe,Isle of Man,0,0,1,0,1,0,0,0,0
Europe,Italy,332,3,27,40,70,1,0,0,3
Europe,Kosovo,2,1,5,1,7,3,0,0,0
Europe,Latvia,3,1,1,1,3,0,0,0,4
Europe,Lithuania,20,6,3,4,13,0,0,0,2
Europe,Luxembourg,7,2,2,0,4,0,0,0,0
Europe,Malta,0,0,0,0,0,1,0,0,2
Europe,Moldova,0,0,0,0,0,1,0,0,1
Europe,Montenegro,2,0,1,0,1,1,0,0,0
Europe,Netherlands,146,14,17,12,43,4,0,25,20
Europe,North Macedonia,1,2,4,4,10,0,0,0,1
Europe,Norway,65,3,11,7,21,9,0,2,152
Europe,Poland,224,21,28,12,61,2,0,0,14
Europe,Portugal,196,0,9,4,13,1,0,11,1
Europe,Romania,77,0,13,4,17,0,0,1,11
Europe,Russia,27,2,3,10,15,11,0,0,7
Europe,Serbia,6,5,8,17,30,5,0,0,20
Europe,Slovakia,0,0,0,7,7,0,0,0,2
Europe,Slovenia,0,0,6,1,7,3,0,0,1
Europe,Spain,950,93,503,41,637,13,0,7,59
Europe,Sweden,220,17,86,8,111,0,0,2,21
Europe,Switzerland,3,1,11,0,12,0,0,0,0
Europe,Ukraine,14,1,1,2,4,12,18,0,13
Europe,United Kingdom,445,28,268,36,332,34,0,3,537
Europe,Åland Islands,1,1,0,5,6,1,0,0,0
Oceania,American Samoa,0,0,0,0,0,1,0,0,0
Oceania,Australia,110,13,102,71,186,14,0,0,60
Oceania,Fiji,1,0,0,0,0,0,0,0,0
Oceania,Guam,0,0,0,0,0,0,0,0,1
Oceania,New Caledonia,1,0,0,0,0,1,0,0,0
Oceania,New Zealand,14,2,10,5,17,3,0,0,8
